CustomerID,InvoiceDate,Quantity,Price,InvoiceNo,StockCode,Description,monetary_value
10001,2021-01-01,14,58.02,INV-18785,SKU-6852,Product 23,812.2800000000001
10001,2021-01-07,8,88.2,INV-83158,SKU-9080,Product 99,705.6
10001,2021-01-25,10,120.2,INV-76553,SKU-6279,Product 45,1202.0
10001,2021-01-31,6,161.85,INV-29299,SKU-7898,Product 21,971.0999999999999
10001,2021-02-13,13,207.73,INV-14042,SKU-3575,Product 99,2700.49
10001,2021-04-11,9,109.28,INV-65845,SKU-3394,Product 39,983.52
10001,2021-07-18,5,168.05,INV-60694,SKU-6244,Product 15,840.25
10001,2021-08-30,11,113.38,INV-26691,SKU-1303,Product 87,1247.1799999999998
10001,2021-10-06,6,190.88,INV-67143,SKU-6561,Product 91,1145.28
10001,2021-10-25,8,164.64,INV-10959,SKU-3948,Product 54,1317.12
10001,2021-11-01,12,131.44,INV-65669,SKU-4659,Product 63,1577.28
10001,2021-11-16,9,71.65,INV-66377,SKU-1990,Product 71,644.85
10001,2021-11-22,7,77.33,INV-92581,SKU-6436,Product 12,541.31
10001,2021-12-08,7,184.89,INV-59410,SKU-9700,Product 27,1294.23
10001,2021-12-08,13,112.23,INV-87721,SKU-3444,Product 19,1458.99
10001,2021-12-31,10,171.5,INV-84781,SKU-6410,Product 63,1715.0
10001,2022-01-29,11,96.99,INV-41723,SKU-5854,Product 66,1066.8899999999999
10001,2022-03-12,7,56.64,INV-60578,SKU-9067,Product 76,396.48
10001,2022-04-19,10,182.12,INV-92054,SKU-5618,Product 36,1821.2
10001,2022-04-24,11,160.35,INV-87233,SKU-5139,Product 48,1763.85
10001,2022-05-15,3,76.6,INV-31027,SKU-6304,Product 6,229.79999999999998
10001,2022-07-05,13,157.3,INV-39467,SKU-5564,Product 92,2044.9
10001,2022-07-25,10,98.46,INV-77561,SKU-1105,Product 59,984.5999999999999
10001,2022-08-21,9,138.29,INV-23149,SKU-7940,Product 95,1244.61
10001,2022-08-22,10,176.43,INV-47696,SKU-5710,Product 21,1764.3000000000002
10001,2022-09-02,10,172.75,INV-85124,SKU-4268,Product 62,1727.5
10001,2022-09-12,8,95.05,INV-47976,SKU-1194,Product 30,760.4
10001,2022-09-22,11,159.52,INV-76422,SKU-9584,Product 12,1754.72
10001,2022-10-08,11,170.01,INV-17711,SKU-4628,Product 9,1870.11
10001,2022-10-11,3,105.84,INV-51205,SKU-8504,Product 3,317.52
10001,2022-12-28,13,106.07,INV-96593,SKU-2007,Product 19,1378.9099999999999
10002,2021-06-04,3,92.23,INV-16533,SKU-5677,Product 44,276.69
